PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35063075","Fundamental behaviors emerge from simulations of a living minimal cell","Thornburg ZR, Bianchi DM, Brier TA, Gilbert BR, Earnest EE, Melo MCR, Safronova N, Sáenz JP, Cook AT, Wise KS, Hutchison CA 3rd, Smith HO, Glass JI, Luthey-Schulten Z.","Cell. 2022 Jan 20;185(2):345-360.e28. doi: 10.1016/j.cell.2021.12.025.","Thornburg ZR","Cell","2022","2022/01/22","PMC9985924","NIHMS1767153","10.1016/j.cell.2021.12.025"
"35705054","Spatial and temporal proteomics reveals the distinct distributions and dynamics of O-GlcNAcylated proteins","Xu S, Tong M, Suttapitugsakul S, Wu R.","Cell Rep. 2022 Jun 14;39(11):110946. doi: 10.1016/j.celrep.2022.110946.","Xu S","Cell Rep","2022","2022/06/15","PMC9244862","NIHMS1816589","10.1016/j.celrep.2022.110946"
"38421032","Fitness Effects of Phenotypic Mutations at Proteome-Scale Reveal Optimality of Translation Machinery","Landerer C, Poehls J, Toth-Petroczy A.","Mol Biol Evol. 2024 Mar 1;41(3):msae048. doi: 10.1093/molbev/msae048.","Landerer C","Mol Biol Evol","2024","2024/02/29","PMC10939442","","10.1093/molbev/msae048"
"31527909","In eubacteria, unlike eukaryotes, there is no evidence for selection favouring fail-safe 3' additional stop codons","Ho AT, Hurst LD.","PLoS Genet. 2019 Sep 17;15(9):e1008386. doi: 10.1371/journal.pgen.1008386. eCollection 2019 Sep.","Ho AT","PLoS Genet","2019","2019/09/19","PMC6764699","","10.1371/journal.pgen.1008386"
"35858568","Pulse labeling reveals the tail end of protein folding by proteome profiling","Zhu M, Kuechler ER, Wong RWK, Calabrese G, Sitarik IM, Rana V, Stoynov N, O'Brien EP, Gsponer J, Mayor T.","Cell Rep. 2022 Jul 19;40(3):111096. doi: 10.1016/j.celrep.2022.111096.","Zhu M","Cell Rep","2022","2022/07/20","PMC9893312","NIHMS1864204","10.1016/j.celrep.2022.111096"
"31841128","High Transcriptional Error Rates Vary as a Function of Gene Expression Level","Meer KM, Nelson PG, Xiong K, Masel J.","Genome Biol Evol. 2020 Jan 1;12(1):3754-3761. doi: 10.1093/gbe/evz275.","Meer KM","Genome Biol Evol","2020","2019/12/17","PMC6988749","","10.1093/gbe/evz275"
"37815119","Inclusion of Porous Graphitic Carbon Chromatography Yields Greater Protein Identification and Compartment and Process Coverage and Enables More Reflective Protein-Level Label-Free Quantitation","Delafield DG, Miles HN, Ricke WA, Li L.","J Proteome Res. 2023 Nov 3;22(11):3508-3518. doi: 10.1021/acs.jproteome.3c00373. Epub 2023 Oct 10.","Delafield DG","J Proteome Res","2023","2023/10/10","PMC10732698","NIHMS1950512","10.1021/acs.jproteome.3c00373"
"36012834","Cryptococcus neoformans Prp8 Intein: An In Vivo Target-Based Drug Screening System in Saccharomyces cerevisiae to Identify Protein Splicing Inhibitors and Explore Its Dynamics","Fernandes JAL, Zatti MDS, Arantes TD, Souza MFB, Santoni MM, Rossi D, Zanelli CF, Liu XQ, Bagagli E, Theodoro RC.","J Fungi (Basel). 2022 Aug 12;8(8):846. doi: 10.3390/jof8080846.","Fernandes JAL","J Fungi (Basel)","2022","2022/08/26","PMC9410109","","10.3390/jof8080846"
"34665250","Extracellular Domains of Transmembrane Proteins Defy the Expression Level-Evolutionary Rate Anticorrelation","Sarkar C, Alvarez-Ponce D.","Genome Biol Evol. 2022 Jan 4;14(1):evab235. doi: 10.1093/gbe/evab235.","Sarkar C","Genome Biol Evol","2022","2021/10/19","PMC8755491","","10.1093/gbe/evab235"
"32325033","BraInMap Elucidates the Macromolecular Connectivity Landscape of Mammalian Brain","Pourhaghighi R, Ash PEA, Phanse S, Goebels F, Hu LZM, Chen S, Zhang Y, Wierbowski SD, Boudeau S, Moutaoufik MT, Malty RH, Malolepsza E, Tsafou K, Nathan A, Cromar G, Guo H, Abdullatif AA, Apicco DJ, Becker LA, Gitler AD, Pulst SM, Youssef A, Hekman R, Havugimana PC, White CA, Blum BC, Ratti A, Bryant CD, Parkinson J, Lage K, Babu M, Yu H, Bader GD, Wolozin B, Emili A.","Cell Syst. 2020 Apr 22;10(4):333-350.e14. doi: 10.1016/j.cels.2020.03.003.","Pourhaghighi R","Cell Syst","2020","2020/04/24","PMC7938770","NIHMS1581463","10.1016/j.cels.2020.03.003"
"29743515","Amino acid compositions contribute to the proteins' evolution under the influence of their abundances and genomic GC content","Du MZ, Liu S, Zeng Z, Alemayehu LA, Wei W, Guo FB.","Sci Rep. 2018 May 9;8(1):7382. doi: 10.1038/s41598-018-25364-1.","Du MZ","Sci Rep","2018","2018/05/11","PMC5943316","","10.1038/s41598-018-25364-1"
"38797552","Exploring malaria parasite surface proteins to devise highly immunogenic multi-epitope subunit vaccine for Plasmodium falciparum","Bhalerao P, Singh S, Prajapati VK, Bhatt TK.","J Genet Eng Biotechnol. 2024 Jun;22(2):100377. doi: 10.1016/j.jgeb.2024.100377. Epub 2024 May 4.","Bhalerao P","J Genet Eng Biotechnol","2024","2024/05/26","PMC11089370","","10.1016/j.jgeb.2024.100377"
"28150231","Protein Bioinformatics Databases and Resources","Chen C, Huang H, Wu CH.","Methods Mol Biol. 2017;1558:3-39. doi: 10.1007/978-1-4939-6783-4_1.","Chen C","Methods Mol Biol","2017","2017/02/03","PMC5506686","NIHMS873314","10.1007/978-1-4939-6783-4_1"
"37108045","Interplay between Inter-Subunit Rotation of the Ribosome and Binding of Translational GTPases","Das A, Adiletta N, Ermolenko DN.","Int J Mol Sci. 2023 Apr 7;24(8):6878. doi: 10.3390/ijms24086878.","Das A","Int J Mol Sci","2023","2023/04/28","PMC10138997","","10.3390/ijms24086878"
"28544880","Systems-wide Studies Uncover Commander, a Multiprotein Complex Essential to Human Development","Mallam AL, Marcotte EM.","Cell Syst. 2017 May 24;4(5):483-494. doi: 10.1016/j.cels.2017.04.006.","Mallam AL","Cell Syst","2017","2017/05/26","PMC5541947","NIHMS878287","10.1016/j.cels.2017.04.006"
"33476554","Personalized Genome-Scale Metabolic Models Identify Targets of Redox Metabolism in Radiation-Resistant Tumors","Lewis JE, Forshaw TE, Boothman DA, Furdui CM, Kemp ML.","Cell Syst. 2021 Jan 20;12(1):68-81.e11. doi: 10.1016/j.cels.2020.12.001.","Lewis JE","Cell Syst","2021","2021/01/21","PMC7905848","NIHMS1659080","10.1016/j.cels.2020.12.001"
"40261303","CCSer2 gates dynein activity at the cell periphery","Zang JL, Gibson D, Zheng AM, Shi W, Gillies JP, Stein C, Drerup CM, DeSantis ME.","J Cell Biol. 2025 Jun 2;224(6):e202406153. doi: 10.1083/jcb.202406153. Epub 2025 Apr 22.","Zang JL","J Cell Biol","2025","2025/04/22","PMC12013514","","10.1083/jcb.202406153"
"28092656","Influence of node abundance on signaling network state and dynamics analyzed by mass cytometry","Lun XK, Zanotelli VR, Wade JD, Schapiro D, Tognetti M, Dobberstein N, Bodenmiller B.","Nat Biotechnol. 2017 Feb;35(2):164-172. doi: 10.1038/nbt.3770. Epub 2017 Jan 16.","Lun XK","Nat Biotechnol","2017","2017/01/17","PMC5617104","EMS70815","10.1038/nbt.3770"
"27447048","Tagging and Enriching Proteins Enables Cell-Specific Proteomics","Elliott TS, Bianco A, Townsley FM, Fried SD, Chin JW.","Cell Chem Biol. 2016 Jul 21;23(7):805-815. doi: 10.1016/j.chembiol.2016.05.018.","Elliott TS","Cell Chem Biol","2016","2016/07/23","PMC4959846","","10.1016/j.chembiol.2016.05.018"
"31071328","Potential Regulatory Role of Competitive Encounter Complexes in Paralogous Phosphotransferase Systems","Strickland M, Kale S, Strub MP, Schwieters CD, Liu J, Peterkofsky A, Tjandra N.","J Mol Biol. 2019 May 31;431(12):2331-2342. doi: 10.1016/j.jmb.2019.04.040. Epub 2019 May 6.","Strickland M","J Mol Biol","2019","2019/05/10","PMC6554058","NIHMS1528768","10.1016/j.jmb.2019.04.040"
"31101498","Analysis of the Human Kinome and Phosphatome by Mass Cytometry Reveals Overexpression-Induced Effects on Cancer-Related Signaling","Lun XK, Szklarczyk D, Gábor A, Dobberstein N, Zanotelli VRT, Saez-Rodriguez J, von Mering C, Bodenmiller B.","Mol Cell. 2019 Jun 6;74(5):1086-1102.e5. doi: 10.1016/j.molcel.2019.04.021. Epub 2019 May 14.","Lun XK","Mol Cell","2019","2019/05/19","PMC6561723","","10.1016/j.molcel.2019.04.021"
"31612854","Implementation of an antibody characterization procedure and application to the major ALS/FTD disease gene C9ORF72","Laflamme C, McKeever PM, Kumar R, Schwartz J, Kolahdouzan M, Chen CX, You Z, Benaliouad F, Gileadi O, McBride HM, Durcan TM, Edwards AM, Healy LM, Robertson J, McPherson PS.","Elife. 2019 Oct 15;8:e48363. doi: 10.7554/eLife.48363.","Laflamme C","Elife","2019","2019/10/16","PMC6794092","","10.7554/eLife.48363"
"32780727","Comprehensive plasma proteomic profiling reveals biomarkers for active tuberculosis","Garay-Baquero DJ, White CH, Walker NF, Tebruegge M, Schiff HF, Ugarte-Gil C, Morris-Jones S, Marshall BG, Manousopoulou A, Adamson J, Vallejo AF, Bielecka MK, Wilkinson RJ, Tezera LB, Woelk CH, Garbis SD, Elkington P.","JCI Insight. 2020 Sep 17;5(18):e137427. doi: 10.1172/jci.insight.137427.","Garay-Baquero DJ","JCI Insight","2020","2020/08/12","PMC7526553","","10.1172/jci.insight.137427"
"31790148","The use of missing values in proteomic data-independent acquisition mass spectrometry to enable disease activity discrimination","McGurk KA, Dagliati A, Chiasserini D, Lee D, Plant D, Baricevic-Jones I, Kelsall J, Eineman R, Reed R, Geary B, Unwin RD, Nicolaou A, Keavney BD, Barton A, Whetton AD, Geifman N.","Bioinformatics. 2020 Apr 1;36(7):2217-2223. doi: 10.1093/bioinformatics/btz898.","McGurk KA","Bioinformatics","2020","2019/12/03","PMC7141869","","10.1093/bioinformatics/btz898"
"40806605","tRNA Modifications: A Tale of Two Viruses-SARS-CoV-2 and ZIKV","Eldin P, Briant L.","Int J Mol Sci. 2025 Aug 2;26(15):7479. doi: 10.3390/ijms26157479.","Eldin P","Int J Mol Sci","2025","2025/08/14","PMC12347559","","10.3390/ijms26157479"
"27626670","FOXO/DAF-16 Activation Slows Down Turnover of the Majority of Proteins in C. elegans","Dhondt I, Petyuk VA, Cai H, Vandemeulebroucke L, Vierstraete A, Smith RD, Depuydt G, Braeckman BP.","Cell Rep. 2016 Sep 13;16(11):3028-3040. doi: 10.1016/j.celrep.2016.07.088.","Dhondt I","Cell Rep","2016","2016/09/15","PMC5434875","NIHMS860021","10.1016/j.celrep.2016.07.088"
"32625236","CARMAL Is a Long Non-coding RNA Locus That Regulates MFGE8 Expression","Soubeyrand S, Nikpay M, Lau P, Turner A, Hoang HD, Alain T, McPherson R.","Front Genet. 2020 Jun 17;11:631. doi: 10.3389/fgene.2020.00631. eCollection 2020.","Soubeyrand S","Front Genet","2020","2020/07/07","PMC7311772","","10.3389/fgene.2020.00631"
"27345611","A theoretical estimate for nucleotide sugar demand towards Chinese Hamster Ovary cellular glycosylation","Del Val IJ, Polizzi KM, Kontoravdi C.","Sci Rep. 2016 Jun 27;6:28547. doi: 10.1038/srep28547.","Del Val IJ","Sci Rep","2016","2016/06/28","PMC4921913","","10.1038/srep28547"
"33066324","Susceptibility of Protein Methionine Oxidation in Response to Hydrogen Peroxide Treatment-Ex Vivo Versus In Vitro: A Computational Insight","Aledo JC, Aledo P.","Antioxidants (Basel). 2020 Oct 13;9(10):987. doi: 10.3390/antiox9100987.","Aledo JC","Antioxidants (Basel)","2020","2020/10/17","PMC7602125","","10.3390/antiox9100987"
"32784707","Interplay of Structural Disorder and Short Binding Elements in the Cellular Chaperone Function of Plant Dehydrin ERD14","Murvai N, Kalmar L, Szalaine Agoston B, Szabo B, Tantos A, Csikos G, Micsonai A, Kardos J, Vertommen D, Nguyen PN, Hristozova N, Lang A, Kovacs D, Buday L, Han KH, Perczel A, Tompa P.","Cells. 2020 Aug 7;9(8):1856. doi: 10.3390/cells9081856.","Murvai N","Cells","2020","2020/08/14","PMC7465474","","10.3390/cells9081856"
"32857852","RNA-binding and prion domains: the Yin and Yang of phase separation","Gotor NL, Armaos A, Calloni G, Torrent Burgas M, Vabulas RM, De Groot NS, Tartaglia GG.","Nucleic Acids Res. 2020 Sep 25;48(17):9491-9504. doi: 10.1093/nar/gkaa681.","Gotor NL","Nucleic Acids Res","2020","2020/08/29","PMC7515694","","10.1093/nar/gkaa681"
"34807903","PQN-59 antagonizes microRNA-mediated repression during post-embryonic temporal patterning and modulates translation and stress granule formation in C. elegans","Carlston C, Weinmann R, Stec N, Abbatemarco S, Schwager F, Wang J, Ouyang H, Ewald CY, Gotta M, Hammell CM.","PLoS Genet. 2021 Nov 22;17(11):e1009599. doi: 10.1371/journal.pgen.1009599. eCollection 2021 Nov.","Carlston C","PLoS Genet","2021","2021/11/22","PMC8648105","","10.1371/journal.pgen.1009599"
"34897580","Monitoring one-carbon metabolism by mass spectrometry to assess liver function and disease","Guerrero L, Sangro B, Ambao V, Granero JI, Ramos-Fernández A, Paradela A, Corrales FJ.","J Physiol Biochem. 2022 Feb;78(1):229-243. doi: 10.1007/s13105-021-00856-3. Epub 2021 Dec 13.","Guerrero L","J Physiol Biochem","2022","2021/12/13","PMC8666175","","10.1007/s13105-021-00856-3"
"32106311","Association of clinical severity with FANCB variant type in Fanconi anemia","Jung M, Ramanagoudr-Bhojappa R, van Twest S, Rosti RO, Murphy V, Tan W, Donovan FX, Lach FP, Kimble DC, Jiang CS, Vaughan R, Mehta PA, Pierri F, Dufour C, Auerbach AD, Deans AJ, Smogorzewska A, Chandrasekharappa SC.","Blood. 2020 Apr 30;135(18):1588-1602. doi: 10.1182/blood.2019003249.","Jung M","Blood","2020","2020/02/28","PMC7193183","","10.1182/blood.2019003249"
"29915293","Purifying and positive selection in the evolution of stop codons","Belinky F, Babenko VN, Rogozin IB, Koonin EV.","Sci Rep. 2018 Jun 18;8(1):9260. doi: 10.1038/s41598-018-27570-3.","Belinky F","Sci Rep","2018","2018/06/20","PMC6006363","","10.1038/s41598-018-27570-3"
"34178454","Maximization of information transmission influences selection of native phosphorelay architectures","Alves R, Salvadó B, Milo R, Vilaprinyo E, Sorribas A.","PeerJ. 2021 Jun 10;9:e11558. doi: 10.7717/peerj.11558. eCollection 2021.","Alves R","PeerJ","2021","2021/06/28","PMC8199921","","10.7717/peerj.11558"
"29247194","Elucidating the 16S rRNA 3' boundaries and defining optimal SD/aSD pairing in Escherichia coli and Bacillus subtilis using RNA-Seq data","Wei Y, Silke JR, Xia X.","Sci Rep. 2017 Dec 15;7(1):17639. doi: 10.1038/s41598-017-17918-6.","Wei Y","Sci Rep","2017","2017/12/17","PMC5732282","","10.1038/s41598-017-17918-6"
"28336669","A conserved NAD(+) binding pocket that regulates protein-protein interactions during aging","Li J, Bonkowski MS, Moniot S, Zhang D, Hubbard BP, Ling AJ, Rajman LA, Qin B, Lou Z, Gorbunova V, Aravind L, Steegborn C, Sinclair DA.","Science. 2017 Mar 24;355(6331):1312-1317. doi: 10.1126/science.aad8242.","Li J","Science","2017","2017/03/25","PMC5456119","NIHMS863155","10.1126/science.aad8242"
"33237311","The STRING database in 2021: customizable protein-protein networks, and functional characterization of user-uploaded gene/measurement sets","Szklarczyk D, Gable AL, Nastou KC, Lyon D, Kirsch R, Pyysalo S, Doncheva NT, Legeay M, Fang T, Bork P, Jensen LJ, von Mering C.","Nucleic Acids Res. 2021 Jan 8;49(D1):D605-D612. doi: 10.1093/nar/gkaa1074.","Szklarczyk D","Nucleic Acids Res","2021","2020/11/25","PMC7779004","","10.1093/nar/gkaa1074"
"37635943","The identification of high-performing antibodies for Charged multivesicular body protein 2b for use in Western Blot, immunoprecipitation and immunofluorescence","Alshafie W, Fotouhi M, Ayoubi R, Shlaifer I, Southern K, McPherson PS, Laflamme C; NeuroSGC/YCharOS/EDDU collaborative group.","F1000Res. 2023 Jul 25;12:884. doi: 10.12688/f1000research.139755.1. eCollection 2023.","Alshafie W","F1000Res","2023","2023/08/28","PMC10448144","","10.12688/f1000research.139755.1"
"40580929","Cell Compartment is a Predictor of Protein Rate of Evolution, but not in the Manner Expected: Evidence Against the Extended Complexity Hypothesis","Rivas-Santisteban J, Yubero P, Hurst LD.","Genome Biol Evol. 2025 Jul 3;17(7):evaf126. doi: 10.1093/gbe/evaf126.","Rivas-Santisteban J","Genome Biol Evol","2025","2025/06/28","PMC12271741","","10.1093/gbe/evaf126"
"35963929","Baseline proteomics characterisation of the emerging host biomanufacturing organism Halomonas bluephagenesis","Russell M, Currin A, Rowe W, Chen GQ, Barran P, Scrutton NS.","Sci Data. 2022 Aug 13;9(1):492. doi: 10.1038/s41597-022-01610-0.","Russell M","Sci Data","2022","2022/08/13","PMC9376085","","10.1038/s41597-022-01610-0"
"34089862","Proteomics-Based Insights Into the SARS-CoV-2-Mediated COVID-19 Pandemic: A Review of the First Year of Research","Praissman JL, Wells L.","Mol Cell Proteomics. 2021;20:100103. doi: 10.1016/j.mcpro.2021.100103. Epub 2021 Jun 4.","Praissman JL","Mol Cell Proteomics","2021","2021/06/05","PMC8176883","","10.1016/j.mcpro.2021.100103"
"33660322","Structural and functional study of Legionella pneumophila effector RavA","Chung IYW, Li L, Tyurin O, Gagarinova A, Wibawa R, Li P, Hartland EL, Cygler M.","Protein Sci. 2021 May;30(5):940-955. doi: 10.1002/pro.4057. Epub 2021 Mar 9.","Chung IYW","Protein Sci","2021","2021/03/04","PMC8040872","","10.1002/pro.4057"
"36748112","Extending the Range of SLIM-Labeling Applications: From Human Cell Lines in Culture to Caenorhabditis elegans Whole-Organism Labeling","Lignieres L, Sénécaut N, Dang T, Bellutti L, Hamon M, Terrier S, Legros V, Chevreux G, Lelandais G, Mège RM, Dumont J, Camadro JM.","J Proteome Res. 2023 Mar 3;22(3):996-1002. doi: 10.1021/acs.jproteome.2c00699. Epub 2023 Feb 6.","Lignieres L","J Proteome Res","2023","2023/02/07","PMC9990122","","10.1021/acs.jproteome.2c00699"
"30345745","A Quantitative Model for BicD2/Cargo Interactions","Noell CR, Loftus KM, Cui H, Grewer C, Kizer M, Debler EW, Solmaz SR.","Biochemistry. 2018 Nov 20;57(46):6538-6550. doi: 10.1021/acs.biochem.8b00987. Epub 2018 Nov 5.","Noell CR","Biochemistry","2018","2018/10/23","PMC6520106","NIHMS1027709","10.1021/acs.biochem.8b00987"
"35317239","MPEPE, a predictive approach to improve protein expression in E. coli based on deep learning","Ding Z, Guan F, Xu G, Wang Y, Yan Y, Zhang W, Wu N, Yao B, Huang H, Tuller T, Tian J.","Comput Struct Biotechnol J. 2022 Mar 1;20:1142-1153. doi: 10.1016/j.csbj.2022.02.030. eCollection 2022.","Ding Z","Comput Struct Biotechnol J","2022","2022/03/23","PMC8913310","","10.1016/j.csbj.2022.02.030"
"32391319","Cysteines and Disulfide Bonds as Structure-Forming Units: Insights From Different Domains of Life and the Potential for Characterization by NMR","Wiedemann C, Kumar A, Lang A, Ohlenschläger O.","Front Chem. 2020 Apr 23;8:280. doi: 10.3389/fchem.2020.00280. eCollection 2020.","Wiedemann C","Front Chem","2020","2020/05/12","PMC7191308","","10.3389/fchem.2020.00280"
"37850146","Data-Driven Synthetic Cell Factories Development for Industrial Biomanufacturing","Shi Z, Liu P, Liao X, Mao Z, Zhang J, Wang Q, Sun J, Ma H, Ma Y.","Biodes Res. 2022 Jun 15;2022:9898461. doi: 10.34133/2022/9898461. eCollection 2022.","Shi Z","Biodes Res","2022","2023/10/18","PMC10521697","","10.34133/2022/9898461"
