	Usage	Other mentions	Year		Purpose
Comprehensive plasma proteomic profiling reveals biomarkers for active tuberculosis	human plasma data set (integrated)			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7526553/	Serve as a reference (verify their own MS measurement by correlation)
Meta-analysis defines principles for the design and analysis of co-fractionation mass spectrometry experiments	Mouse and human whole-organism protein-abundance estimates		2021	https://www.nature.com/articles/s41592-021-01194-4	
A SARS-CoV-2 –human metalloproteome interaction map	"the human Mg-binding targets are abundantly expressed compared with those of Fe-, Mn- Zn-, and Cu-binders"		2021	https://www.sciencedirect.com/science/article/pii/S0162013421000702	
Treadmilling FtsZ polymers drive the directional movement of sPG-synthesis enzymes via a Brownian ratchet mechanism	the expression level of sPG synthase relative to that of FtsZ in B. subtilis is significantly higher than that in E. coli or S. pneumoniae		2021	https://www.nature.com/articles/s41467-020-20873-y	
Interplay of Structural Disorder and Short Binding Elements in the Cellular Chaperone Function of Plant Dehydrin ERD14	E. coli protein abundance dataset		2020	https://www.mdpi.com/2073-4409/9/8/1856/htm	Meta-analysis
Synthetic analogues of 2-oxo acids discriminate metabolic contribution of the 2-oxoglutarate and 2-oxoadipate dehydrogenases in mammalian cells and tissues		"EMBL Expression Atlas75,76, PaxDB97,98 and MOPED99,100 "	2020	https://www.nature.com/articles/s41598-020-58701-4	
Cysteines and Disulfide Bonds as Structure-Forming Units: Insights From Different Domains of Life and the Potential for Characterization by NMR	"whole genome protein abundance from the three domains of life (Archaea: T. gammatolerans, Bacteria: E. coli and Eukaryota: A. thaliana, D. melanogaster, S. cerevisiae, O. sativa, H. sapiens)  "		2020	https://www.frontiersin.org/articles/10.3389/fchem.2020.00280/full	
The number of catalytic cycles in an enzyme’s lifetime and why it matters to metabolic engineering	the abundance data for Arabidopsis 		2020	https://www.pnas.org/content/pnas/118/13/e2023348118.full.pdf	
The functional landscape of the human phosphoproteome	Phosphopeptide and unphosphorylated peptide MS/MS support for all human proteins binned using the consensus protein abundance from PaxDb		2019	https://www.nature.com/articles/s41587-019-0344-3	
Innate immunity to yeast prions: Btn2p and Cur1p curing of the [URE3] prion is prevented by 60S ribosomal protein deficiency or ubiquitin/proteasome system overactivity	prions (infectious proteins) of Saccharomyces cerevisiae 		2021	https://academic.oup.com/genetics/article/217/4/iyab013/6127178?login=true	
Proteomic analysis reveals the direct recruitment of intrinsically disordered regions to stress granules in S. cerevisiae	yeast proteome data		2020	Proteomic analysis reveals the direct recruitment of intrinsically disordered regions to stress granules in S. cerevisiae	
"Function is what counts: how microbial community complexity affects species, proteome and pathway coverage in metaproteomics"	E. coli proteins		2019	https://www.tandfonline.com/doi/full/10.1080/14789450.2020.1738931	
The use of missing values in proteomic data-independent acquisition mass spectrometry to enable disease activity discrimination 	Plasma protein		2020	https://academic.oup.com/bioinformatics/article/36/7/2217/5650405?login=true	
Comparative analyses of alphaviral RNA:Protein complexes reveals conserved host-pathogen interactions	human cell line proteome		2020	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0238254	
Platelet MAPKs—a 20+ year history: What do we really know?	platelets MAPK abundance		2020	https://onlinelibrary.wiley.com/doi/full/10.1111/jth.14967	
Protein Glycation in Plants—An Under-Researched Field with Much Still to Discover	The proteomic abundances of Glo1 and Glo3 in Arabidopsis thaliana 		2020	https://www.mdpi.com/1422-0067/21/11/3942/htm	Enzyme isoform activity
Comprehensive identification of RNA–protein interactions in any organism using orthogonal organic phase separation (OOPS)	"E. coli, protein abundance "		2019	https://www.nature.com/articles/s41587-018-0001-2	
The nitrogen cost of photosynthesis 	"Using MS, thousands of proteins and their relative abundance in a range of organisms have been measured. The PaxDb resource (Wang et al., 2015) provides estimates of protein abundance derived from spectral counts across many experiments and tissue types. The Arabidopsis thaliana database comprises 46 datasets, covering 76% of the expected proteome. More than 90% of protein is accounted for by the 1000 most-abundant proteins. However, protein quantification by MS has an inherent bias, over-representing more-abundant proteins when low-abundance proteins fall below the instrument detection limits. Identification of proteins by MS can also be biased due to a range of factors affecting peptide detection, such as peptide solubility, enzymatic digestion efficacy, and differing ion efficiencies (reviewed in Lundgren et al., 2010). 
Consequently, the PaxDb values cannot be taken at face value (Li et al., 2017). For example, the abundance of Rubisco large subunits outnumbers that of the small subunit by more than 8-fold. One would expect that the amounts of these two subunits should be similar as the mature Rubisco enzyme contains eight large and eight small subunits. Rubisco represents about 40% of soluble protein (Eckardt et al., 1997), or 20% of leaf nitrogen (Evans and Seemann, 1984), which equates to about 119000 ppm for each subunit (see Supplementary Data S1 at JXB online). Because Rubisco is such an abundant protein, this potentially introduces a significant bias unless it is corrected (Li et al., 2017). Further, the stoichiometry in PaxDb of proteins within and between complexes does not necessarily match expectations, perhaps reflecting the fact that not all proteins are quantitatively captured during tissue preparation and subsequent measurement. However, the data available from MS allows a deeper understanding of nitrogen distribution between proteins than previous techniques have afforded. Moving forward, new data-independent acquisition proteomic techniques, such as SWATH MS (Law and Lim, 2013) will allow greater accuracy and a much finer resolution of leaf nitrogen allocation between proteins within leaves."		2019	https://academic.oup.com/jxb/article/70/1/7/5142912	
Unification of Protein Abundance Datasets Yields a Quantitative Saccharomyces cerevisiae Proteome	"We also considered a normalization scheme where each protein is quantified relative to all other proteins in the dataset, as was done in PaxDb. While this relative expression of abundance (parts per million) has the advantage of being independent of cell size and sample volume, it makes comparison between different datasets difficult if the datasets measure different numbers of proteins. Thus, the parts per million normalization alters the pairwise correlations between datasets (Figure S2C). By contrast, normalization by mode shifting or center log ratio transformation allows comparison between datasets by expressing them on a common scale (Figure S2A), and preserves the correlations that are evident in the raw data (Figure S2C). Normalization by mode shifting or center log ratio transformation also allows us to retain proteins whose abundance is not reported in all datasets, thereby affording the greatest possible proteome coverage."		2018	https://www.sciencedirect.com/science/article/pii/S240547121730546X?via%3Dihub	
Nuclear protein quality control in yeast: The latest INQuiries	"the INQ substrates are as long, stable, hydrophobic, enriched for charged amino acids, abundant, and soluble as the nuclear proteome, indicating the absence of a unique feature. However, the INQ substrates do have a significantly less percentage of LCRs "		2022	https://www.sciencedirect.com/science/article/pii/S002192582200641X	Calculate abundance as fraction of whole proteome and of nuclear fraction
Spatial and temporal proteomics reveals the distinct distributions and dynamics of O-GlcNAcylated proteins	Listed as star method for abundance		2022	https://www.sciencedirect.com/science/article/pii/S2211124722007288	
Design of typical genes for heterologous gene expression	"The annotation of the sequence data (e.g. cellular localization, biomolecular function) and the reference to the protein abundance data (from PacDB) allows the generation of organism-specific and gene set-specific RSdCU computations for the Markov chain model. For example, based on the protein abundance information just the 50 highest expressed proteins of an organism could be selected, or the 2000 least expressed proteins. In other use cases, for example, the ATPases, membrane proteins, or cytoskeletal proteins of an organism could be selected to generate the RSdCU matrix. This approach allows the flexible computation of the RSdCU for a diverse set of organisms as target hosts, for a set of proteins with similar expression level, and for a selected set of proteins with similar cellular function."		2022	https://www.nature.com/articles/s41598-022-13089-1	"Synthetic biology, create gene sequence for protein production, codon bias "
Heat Shock Protein 90’s Mechanistic Role in Contact Hypersensitivity	"To determine whether each of these proteins has the potential to contribute to the sensitization response in the skin, we examined the relative abundance of identified proteins in human monocytes and human skin tissue (29). "		2022	https://www.jimmunol.org/content/early/2022/06/08/jimmunol.2101023.abstract?casa_token=rQrzMKx75b8AAAAA:BidFXoxZOgwo7H8olUlWEzrYK8gnXqmyigBBqXW_xkQwRgf6bZWs_u5mFOuxHqXttYU-2aDoAm8FGw	
Integrative analysis and prediction of human R-loop binding proteins 	"features for each protein—Length, Aliphatic index, GRAVY, Abundance*, CamSol, Disorder and LCR percentage, PScore, capability to bind to nucleic acids, Phosphosite data, and the amino acid makeup for each of the 20 standard amino acids. "		2022	https://academic.oup.com/g3journal/article-abstract/12/8/jkac142/6603113	Predictive model with protein features
Improving recombinant protein production by yeast through genome-scale modeling using proteome constraints	"Overall, pcSecYeast accounts for 1639 protein-coding genes (1156 metabolic genes and 483 protein synthesis- and secretion-related genes) and approximately 70% of the total proteome mass (45.7% from metabolic proteins, 20.6% related to ribosome, proteosome and secretory machinery proteins and 4.6% from unmodeled secretory proteins) according to PaxDb"		2022	https://www.nature.com/articles/s41467-022-30689-7	Functional category proportion estimation
"A yeast cell cycle model integrating stress, signaling, and physiology"	Yeast proteome particle number		2022	https://academic.oup.com/femsyr/article/22/1/foac026/6592118	Modeling
"A large-scale analysis of codon usage bias in 4868 bacterial genomes shows association of codon adaptation index with GC content, protein functional domains and bacterial phenotypes"	"Calculation of the relative adaptiveness RAAA,i of each codon for a genome requires the identification of a set G of genes (see Eq. (1)) corresponding to highly abundant proteins. 
we compared the gene sets predicted by this iterative approach with measurements of protein abundance in 29 bacterial species retrieved from PAXdb:Protein Abundance database "		2022	https://www.sciencedirect.com/science/article/pii/S1874939922000414#!	Calculate RA for codon
Baseline proteomics characterisation of the emerging host biomanufacturing organism Halomonas bluephagenesis	The publicly available protein abundance database paxDB (https://pax-db.org) documents 1331 proteins that have been quantified by previous studies. Against this measure the present library covers 92% of these proteins and quantifies 85%. The depth of coverage against the paxDB database (Fig. 2b) shows higher abundance proteins are fully covered by the library and it is lower abundance proteins that are in varying proportions omitted.		2022	https://www.nature.com/articles/s41597-022-01610-0	Characterise new proteome and verify with paxdb by blast 
"Degron masking outlines degronons, co-degrading functional modules in the proteome"	"Analysis of binding site information and protein abundance comparisons show that regulatory partners effectively outcompete E3 ligases, masking degrons from the ubiquitination machinery. Protein abundance variations between normal and cancer cells highlight the dynamics of degron masking components. "	"Wilhelm 2014 (human tissue), Geiger 2012 (human cell line) "	2022	https://www.nature.com/articles/s42003-022-03391-z	"Similar half-life between 2 proteins, similar abundance. 
Hubs → relatively short half-life
Half-life ratio is related to functional similarity and gene expression.

VERY interesting paper"
Heme oxygenase-2 (HO-2) binds and buffers labile ferric heme in human embryonic kidney cells	"The ratio of HO-2 to HO-1 protein expression is highly variable across different cell lines and tissues, spanning 5000 (frontal cortex) to 0.03 (spleen) (Fig. S6) (100). "		2022	https://www.jbc.org/article/S0021-9258(21)01359-4/fulltext#relatedArticles	Tissue-specific abundance ratio
Fundamental behaviors emerge from simulations of a living minimal cell	Kinetic parameters of B. subtilis		2022	https://www.sciencedirect.com/science/article/pii/S0092867421014884	
Functional analysis of the stable phosphoproteome reveals cancer vulnerabilities	The average protein abundances for each host protein were collected from PaxDb (human SPS)		2022	https://academic.oup.com/bioinformatics/article/38/7/1956/6500280	
Day and night isotope labelling reveal metabolic pathway specific regulation of protein synthesis rates in Arabidopsis	"While 350 is still numerically a small proportion of the total number of proteins encoded in the Arabidopsis genome, due to the abundance-based selection of data dependent mass spectrometry, these 350 proteins represent approximately 40% of the total protein amount in mature rosette leaves according to molar ratio estimates derived from PAXdb "		2022	https://onlinelibrary.wiley.com/doi/full/10.1111/tpj.15661	
Protein phase separation hotspots at the presynapse	"Protein abundance is encoded by node size to present proteins with high expression and potential relevance as matrix or scaffold proteins. 
Compared to synapsin-1, all the identified active zone proteins, bassoon/piccolo, RIM/RIMBP, ELKS and liprins, show low abundance levels (all less than 50 ppm, electronic supplementary material, table S1), which speaks for a multicomponent LLPS system, rather than one protein on its own serving as a matrix.
dynamin is a highly abundant protein (greater than 1900 ppm; electronic supplementary material, table S1) and thus might be a candidate as a matrix protein.
Complexins have not been shown to undergo LLPS, but interestingly complexin-2 is one of the highly abundant synapse proteins (greater than 1000 ppm; electronic supplementary material, table S1) and its regulatory role in SV release has remained challenging to explain"		2022	https://royalsocietypublishing.org/doi/full/10.1098/rsob.210334	
CRACking the Molecular Regulatory Mechanism of SOCE during Platelet Activation in Thrombo-Occlusive Diseases	"Extracellular signal-regulated kinases (ERKs) are MAP kinases (MAPK) and used in a wide variety of cells as crucial intracellular signaling molecules. MAPK and in general ERK1/2 are long known to be highly expressed in platelets [75,76]"		2022	https://www.mdpi.com/2073-4409/11/4/619/htm	
Isolation and Identification of Dengue Virus Interactome with Human Plasma Proteins by Affinity Purification-Mass Spectrometry	"The method proposed here for plasma fractionation makes it possible to obtain a sample where the 20 proteins identified as major components in human plasma [42] are markedly reduced in relative abundance (filled squares, Fig. 2)"		2022	https://link.springer.com/protocol/10.1007/978-1-0716-1879-0_10	Reference for its fractionation technique
PP2A/B55α substrate recruitment as defined by the retinoblastoma-related protein p107	"B55α (four isoforms, α, β, ɣ, δ; our work focuses on the α-isoform of B55) is ubiquitously expressed and the most abundant regulatory subunit of PP2A (Kim et al., 2014; Wang et al., 2015). "		2021	https://elifesciences.org/articles/63181	
Monitoring one-carbon metabolism by mass spectrometry to assess liver function and disease	"All proteins were detected in liver extracts, and the relative abundances were in good agreement with those published in PaxDB [33] and the Human ProteinAtlas [30] resources. "	HPA	2022	https://link.springer.com/article/10.1007/s13105-021-00856-3	
PQN-59 antagonizes microRNA-mediated repression during post-embryonic temporal patterning and modulates translation and stress granule formation in C. elegans	Proteomic data from Version 4.0 of PaxDb: Protein abundance data indicating that PQN-59 is a very abundant protein (C. elegans)		2022	https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1009599	
Extracellular Domains of Transmembrane Proteins Defy the Expression Level–Evolutionary Rate Anticorrelation 	"Protein abundances for human, S. cerevisiae, A. thaliana, and E. coli were retrieved from the PaxDB database, version 4 (integrated data sets were used; Wang et al. 2015)."		2022	https://academic.oup.com/gbe/article/14/1/evab235/6402012	"Very interesting
Highly expressed proteins tend to evolve slowly, a trend known as the expression level–rate of evolution (E–R) anticorrelation. "
PQN-59 and GTBP-1 contribute to stress granule formation but are not essential for their assembly in C. elegans embryos	"As for GTBP-1, PQN-59 is an abundant protein of the entire C. elegans proteome (https://pax-db.org/protein/1033201; Wang et al., 2015; Carlston et al., 2021 preprint),"		2022	https://journals.biologists.com/jcs/article/134/22/jcs258834/273437/PQN-59-and-GTBP-1-contribute-to-stress-granule	
Progress in methodologies and quality-control strategies in protein cross-linking mass spectrometry	"Similarly, the large-scale and proteome-wide XL-MS studies tend to identify much higher fraction of cross-links from highly abundant complexes such as ribosome and proteasome compared to that of proteins with relatively lower abundance [20]. To examine this comprehensively, we compiled a set of 31,745 cross-links among 4035 proteins from published datasets [21-38] and analyzed them in relation to the cellular abundance of the cross-linked proteins, obtained from PaxDB [39] (3688 out 4035 proteins had abundance values in the PaxDB which contribute to 28,244 cross-links in the dataset) (Figure 2A, 2B)."		2021	https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/full/10.1002/pmic.202100145	Verify drawback of cross-linking MS technique in relation to protein abundance
"Analysis of 11,430 recombinant protein production experiments reveals that protein yield is tunable by synonymous codon changes of translation initiation sites"	"The opening energy at the region −25:16 (sub-sequence l = 41 at position i = 16, green crosshair) shows the strongest correlation with protein abundance (Rs = −0.17; N = 3,725, PaxDb integrated proteomics dataset). "		2021	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1009461#pcbi.1009461.s011	"Despite these issues, mRNA abundance only explains up to 40% of the variation in protein abundance, presumably due to variation in translation and turnover rates [4–10].
Accessibility is a single sequence feature that explains most of the variation in protein abundance"
Kinase-Catalyzed Biotinylation to Map Cell Signaling Pathways: Application to Epidermal Growth Factor Signaling	"To further assess the quality of the K-BMAPS enrichment, an abundance analysis was performed with the 219 hits using the paxdb database. (34) The K-BMAPS hits were in the abundance range of 0.11 to 5024 ppm (Figure S4), which is similar to the range of abundances of all proteins in HeLa cells (0.01 and 10 000 ppm). (25) The abundance analysis suggests that the K-BMAPS enrichment is independent of protein abundance."			https://pubs.acs.org/doi/full/10.1021/acs.jproteome.1c00562	Range estimate of a group of proteins
Distinct RNA polymerase transcripts direct the assembly of phase-separated DBC1 nuclear bodies in different cell lines	"The cellular abundance levels of proteins, measured via MS-based quantitative proteomics studies, were obtained from the PaxDb (Wang et al., 2015). The cell line–integrated abundance values retrieved from PaxDb were converted into concentrations using the following formula:
C = (k × A) / NA
(Milo, 2013), where k ≈ 3 × 106 proteins/fl, the Avogadro constant NA = 6.02 × 1023 molecules/mol, and A is the abundance. (Cell line)"			https://www.molbiolcell.org/doi/full/10.1091/mbc.E21-02-0081	"Milo R (2013). What is the total number of protein molecules per cell volume? A call to rethink some published values. Bioessays 35, 1050–1055"
Mild phenotype of knockouts of the major apurinic/apyrimidinic endonuclease APEX1 in a non-cancer human cell line	"APEX1 is a very abundant protein in human cells, including HEK 293 and its derivatives [74, 84],"	Geiger 2012		https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0257473	
Endogenous S-nitrosocysteine proteomic inventories identify a core of proteins in heart metabolic pathways	Mouse heart protein abundance data were uploaded from the PAXdb: Protein Abundance Database			https://www.sciencedirect.com/science/article/pii/S221323172100313X	Range estimate of a group of proteins
Integrated interactions database: tissue-specific view of the human and model organism interactomes	"Its tissue annotations are available for human and four model organism networks, and are based on gene expression and proteomics data; an interaction is assumed to occur in a tissue if the two proteins or encoding genes are expressed in the tissue. "			https://academic.oup.com/nar/article/44/D1/D536/2502619	Tissue-specificity
Failure of RQC machinery causes protein aggregation and proteotoxic stress	"They are typically of high abundance in the proteome33 (Extended Data Fig. 5i), which presumably facilitated the identification of aggregated NCs."			https://www.nature.com/articles/nature16973	
A conserved NAD+ binding pocket that regulates protein-protein interactions during aging	"The protein DBC1 (deleted in breast cancer 1) is one of the most abundant yet enigmatic proteins in mammals (10, 11), "			https://www.science.org/doi/full/10.1126/science.aad8242	
The Unfolded Protein Response: Detecting and Responding to Fluctuations in the Protein-Folding Capacity of the Endoplasmic Reticulum	"It is notable that translocons are highly abundant, present at levels at least an order of magnitude higher than those of IRE1 (Wang et al. 2015). Such disparate stoichiometry suggests that IRE1 associates with specialized translocon complexes that might be involved in the translocation of select ER clients. "			https://cshperspectives.cshlp.org/content/11/9/a033886.full	Speculate about specificity
The functional landscape of the human phosphoproteome	Phosphopeptide and unphosphorylated peptide MS/MS support for all human proteins binned using the consensus protein abundance from PaxDb.			https://www.nature.com/articles/s41587-019-0344-3	verify the phospho-MS/MS detection with PSM category for range estimation
"Fructose-1,6-bisphosphate couples glycolytic flux to activation of Ras"	"Moreover, at least in yeast, the number of Cdc25 molecules is very low compared to the number of Ras molecules55. Hence, a second way in which faster dissociation of Cdc25 and Ras may stimulate Ras activity, is that it may make the limited number of Cdc25 molecules more rapidly available for activation of other Ras molecules."			https://www.nature.com/articles/s41467-017-01019-z	Speculate “signaling molecule” function by ratio of two protein abundance
TISSUES 2.0: an integrative web resource on mammalian tissue expression 	Co-mentioned with other resources in introduction. 	"HPA, Bgee,"		https://academic.oup.com/database/article/doi/10.1093/database/bay003/4851151	
Genic insights from integrated human proteomics in GeneCards	Genecards		2016	https://academic.oup.com/database/article/doi/10.1093/database/baw030/2630261	Mentioned cross-reference
Cytosolic Protein Vms1 Links Ribosome Quality Control to Mitochondrial and Cellular Homeostasis	"We found that overexpression of Vms1 caused the displacement of Rqc2 from 60S ribosomes, providing a mechanism for how Vms1 impedes CAT tailing. Vms1 may directly compete with Rqc2 for 60S binding, consistent with Vms1 and Rqc2 being of similar abundance"		2017	https://www.sciencedirect.com/science/article/pii/S0092867417311868	Speculate about function “compete” comparing normal condition and over expression
Operon Gene Order Is Optimized for Ordered Protein Complex Assembly	"Unsurprisingly, it has been observed that proteins encoded by the same operon tend to be coexpressed (Wang et al., 2005). "			https://www.sciencedirect.com/science/article/pii/S2211124715015417	Within group (operon)
Genetic information from discordant sibling pairs points to ESRP2 as a candidate trans-acting regulator of the CF modifier gene SCNN1B	Exp. ppm denotes expression values retrieved from the Protein Abundances Across Organisms-database pax-db			https://www.nature.com/articles/s41598-020-79804-y	
Localized redox relays as a privileged mode of cytoplasmic hydrogen peroxide signaling	"Furthermore, recent quantitative proteomic studies of multiple human cell lines and tissues [11] consistently show that glutathione peroxidases are one to two orders of magnitude less abundant than PrxI and PrxII. The neglect of alternative H2O2 sinks is a conservative assumption with respect to the H2O2 attained in the cytoplasm. "		2017	https://www.sciencedirect.com/science/article/pii/S2213231716303469#bib11	Ratio between two proteins
